datetime,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,hour,month
2013-03-01 00:00:00,4.0,4.0,4.0,7.0,300.0,77.0,0.1,1023.0,0.5,0.0,NNW,4.4,Aotizhongxin,0,3
2013-03-01 01:00:00,8.0,8.0,4.0,7.0,300.0,77.0,0.1,1023.2,0.5,0.0,N,4.7,Aotizhongxin,1,3
2013-03-01 02:00:00,7.0,7.0,5.0,10.0,300.0,73.0,0.1,1023.5,0.5,0.0,NNW,5.6,Aotizhongxin,2,3
2013-03-01 03:00:00,6.0,6.0,11.0,11.0,300.0,72.0,0.1,1024.5,0.5,0.0,NW,3.1,Aotizhongxin,3,3
2013-03-01 04:00:00,3.0,3.0,12.0,12.0,300.0,72.0,0.1,1025.2,0.5,0.0,N,2.0,Aotizhongxin,4,3
2013-03-01 05:00:00,5.0,5.0,18.0,18.0,400.0,66.0,0.1,1025.6,0.5,0.0,N,3.7,Aotizhongxin,5,3
2013-03-01 06:00:00,3.0,3.0,18.0,32.0,500.0,50.0,0.1,1026.5,0.5,0.0,NNE,2.5,Aotizhongxin,6,3
2013-03-01 07:00:00,3.0,6.0,19.0,41.0,500.0,43.0,0.1,1027.4,0.5,0.0,NNW,3.8,Aotizhongxin,7,3
2013-03-01 08:00:00,3.0,6.0,16.0,43.0,500.0,45.0,0.1,1028.3,0.5,0.0,NNW,4.1,Aotizhongxin,8,3
2013-03-01 09:00:00,3.0,8.0,12.0,28.0,400.0,59.0,1.2,1028.5,0.5,0.0,N,2.6,Aotizhongxin,9,3
2013-03-01 10:00:00,3.0,6.0,9.0,12.0,400.0,72.0,1.9,1028.2,0.5,0.0,NNW,3.6,Aotizhongxin,10,3
2013-03-01 11:00:00,3.0,6.0,9.0,14.0,400.0,71.0,2.9,1028.2,0.5,0.0,N,3.7,Aotizhongxin,11,3
2013-03-01 12:00:00,3.0,6.0,7.0,13.0,300.0,74.0,3.9,1027.3,0.5,0.0,NNW,5.1,Aotizhongxin,12,3
2013-03-01 13:00:00,3.0,6.0,7.0,12.0,400.0,76.0,5.3,1026.2,0.5,0.0,NW,4.3,Aotizhongxin,13,3
2013-03-01 14:00:00,6.0,9.0,7.0,11.0,400.0,77.0,6.0,1025.9,0.5,0.0,NW,4.4,Aotizhongxin,14,3
2013-03-01 15:00:00,8.0,15.0,7.0,14.0,400.0,76.0,6.2,1025.7,0.5,0.0,NNE,2.8,Aotizhongxin,15,3
2013-03-01 16:00:00,9.0,19.0,9.0,13.0,400.0,76.0,5.9,1025.6,0.5,0.0,NNW,3.9,Aotizhongxin,16,3
2013-03-01 17:00:00,10.0,23.0,11.0,15.0,400.0,74.0,4.3,1026.3,0.5,0.0,NNE,2.8,Aotizhongxin,17,3
