epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,340.305,1.51892,1.69964,1.83719,1.33725,0.65649,0.54054,0.53527,0.28392,0.48223,0.42629,0.31418,0.07326,1.65314,1.50853,1.86464,1.278,0.000663366,0.000663366,0.000663366
2,4411.89,1.50426,1.37688,1.57486,1.29923,0.6933,0.51652,0.52106,0.26274,0.6003,0.46495,0.41361,0.1168,1.7076,1.25817,1.88946,1.29724,0.00119836,0.00119836,0.00119836
3,10576.2,1.45621,1.3592,1.4754,1.27789,0.712,0.55884,0.54317,0.31706,0.60645,0.4828,0.4201,0.11645,1.56508,1.41275,1.62829,1.26716,0.00160135,0.00160135,0.00160135
4,15866.7,1.35788,1.32316,1.3442,1.22982,0.7424,0.60197,0.62053,0.38863,0.68432,0.55528,0.53741,0.16458,1.38832,1.16401,1.35496,1.14495,0.001406,0.001406,0.001406
5,24193.4,1.23942,1.29068,1.2385,1.18126,0.74397,0.61756,0.62945,0.40503,0.63475,0.543,0.47669,0.15245,1.35749,1.18795,1.32871,1.11812,0.001208,0.001208,0.001208
6,31479.1,1.14752,1.26523,1.14198,1.15235,0.78228,0.60688,0.64439,0.40592,0.69937,0.56265,0.54286,0.16134,1.27134,1.16736,1.23696,1.08108,0.00101,0.00101,0.00101
7,38154,1.06294,1.22503,1.06409,1.11837,0.81552,0.62285,0.67245,0.46154,0.72261,0.5774,0.54578,0.17092,1.15223,1.16115,1.14458,1.03807,0.000812,0.000812,0.000812
8,45250.6,0.99812,1.18242,1.00547,1.09631,0.82176,0.63436,0.67437,0.4708,0.74868,0.57822,0.55076,0.17231,1.10383,1.13073,1.12019,1.03056,0.000614,0.000614,0.000614
9,51472.3,0.9374,1.15731,0.9511,1.07599,0.78773,0.65479,0.69416,0.50126,0.77858,0.58722,0.61622,0.19968,1.03641,1.07449,1.03124,0.98592,0.000416,0.000416,0.000416
10,58438.3,0.87908,1.13794,0.8985,1.06468,0.79535,0.66364,0.71475,0.53493,0.75571,0.62408,0.6417,0.21607,0.95295,1.07448,0.98428,0.96576,0.000218,0.000218,0.000218
